OA Code,Ward Name,LA Name,Region Name,QS605EW0017,QS605EW0001 (base),OA Percentage
E00009175,Victoria,Hackney,London,10,240,4.1700,
E00176253,De Beauvoir,Hackney,London,4,120,3.3300,
E00009069,Queensbridge,Hackney,London,8,145,5.5200,
E00008842,Haggerston,Hackney,London,3,66,4.5500,
E00176311,Haggerston,Hackney,London,2,118,1.6900,
E00008893,Hoxton,Hackney,London,5,74,6.7600,
E00008891,Hoxton,Hackney,London,16,125,12.8000,
E00008457,Woolwich Common,Greenwich,London,18,185,9.7300,
E00008144,Glyndon,Greenwich,London,8,176,4.5500,
E00008516,Woolwich Riverside,Greenwich,London,9,100,9.0000,
E00008511,Woolwich Riverside,Greenwich,London,9,104,8.6500,
E00008140,Glyndon,Greenwich,London,9,144,6.2500,
E00176512,Woolwich Riverside,Greenwich,London,9,160,5.6300,
E00007885,Blackheath Westcombe,Greenwich,London,2,155,1.2900,
E00008513,Woolwich Riverside,Greenwich,London,14,136,10.2900,
E00007861,Blackheath Westcombe,Greenwich,London,3,115,2.6100,
E00007863,Blackheath Westcombe,Greenwich,London,1,88,1.1400,
E00008444,Woolwich Common,Greenwich,London,14,193,7.2500,
E00008169,Greenwich West,Greenwich,London,6,153,3.9200,
E00008300,Peninsula,Greenwich,London,4,125,3.2000,
E00176523,Peninsula,Greenwich,London,19,159,11.9500,
E00008154,Greenwich West,Greenwich,London,12,205,5.8500,
E00008288,Peninsula,Greenwich,London,10,70,14.2900,
E00008199,Kidbrooke with Hornfair,Greenwich,London,12,307,3.9100,
E00176494,Greenwich West,Greenwich,London,4,53,7.5500,
E00008515,Woolwich Riverside,Greenwich,London,8,123,6.5000,
E00008379,Shooters Hill,Greenwich,London,5,138,3.6200,
E00008210,Kidbrooke with Hornfair,Greenwich,London,11,130,8.4600,
E00008484,Woolwich Common,Greenwich,London,9,118,7.6300,
E00007890,Charlton,Greenwich,London,13,114,11.4000,
E00008531,Woolwich Riverside,Greenwich,London,2,109,1.8300,
E00007919,Charlton,Greenwich,London,20,165,12.1200,
E00008370,Shooters Hill,Greenwich,London,9,158,5.7000,
E00008225,Kidbrooke with Hornfair,Greenwich,London,7,90,7.7800,
E00008105,Glyndon,Greenwich,London,6,134,4.4800,
E00007882,Blackheath Westcombe,Greenwich,London,5,150,3.3300,
E00008309,Peninsula,Greenwich,London,6,139,4.3200,
E00008466,Woolwich Common,Greenwich,London,13,188,6.9100,
E00008110,Glyndon,Greenwich,London,11,141,7.8000,
E00008478,Woolwich Common,Greenwich,London,9,184,4.8900,
E00007921,Charlton,Greenwich,London,14,194,7.2200,
E00007862,Blackheath Westcombe,Greenwich,London,7,134,5.2200,
E00176545,Kidbrooke with Hornfair,Greenwich,London,13,128,10.1600,
E00176503,Peninsula,Greenwich,London,10,178,5.6200,
E00176555,Woolwich Riverside,Greenwich,London,9,190,4.7400,
E00008209,Kidbrooke with Hornfair,Greenwich,London,10,121,8.2600,
E00008291,Peninsula,Greenwich,London,21,125,16.8000,
E00176496,Kidbrooke with Hornfair,Greenwich,London,20,202,9.9000,
E00176591,Peninsula,Greenwich,London,14,198,7.0700,
E00008475,Woolwich Common,Greenwich,London,9,82,10.9800,
E00007916,Charlton,Greenwich,London,17,106,16.0400,
E00008445,Woolwich Common,Greenwich,London,16,150,10.6700,
E00008402,Shooters Hill,Greenwich,London,7,145,4.8300,
E00008483,Woolwich Common,Greenwich,London,16,164,9.7600,
E00008527,Woolwich Riverside,Greenwich,London,14,119,11.7600,
E00008388,Shooters Hill,Greenwich,London,8,174,4.6000,
E00007920,Charlton,Greenwich,London,2,142,1.4100,
E00008232,Kidbrooke with Hornfair,Greenwich,London,11,124,8.8700,
E00007902,Charlton,Greenwich,London,8,122,6.5600,
E00007879,Blackheath Westcombe,Greenwich,London,2,119,1.6800,
E00008520,Woolwich Riverside,Greenwich,London,20,156,12.8200,
E00007926,Charlton,Greenwich,London,5,175,2.8600,
E00008191,Kidbrooke with Hornfair,Greenwich,London,6,115,5.2200,
E00008280,Peninsula,Greenwich,London,11,211,5.2100,
E00007894,Charlton,Greenwich,London,4,153,2.6100,
E00007901,Charlton,Greenwich,London,12,147,8.1600,
E00008142,Glyndon,Greenwich,London,15,127,11.8100,
E00008283,Peninsula,Greenwich,London,21,186,11.2900,
E00008397,Shooters Hill,Greenwich,London,3,146,2.0500,
E00008459,Woolwich Common,Greenwich,London,13,501,2.5900,
E00176579,Greenwich West,Greenwich,London,2,117,1.7100,
E00176566,Peninsula,Greenwich,London,12,177,6.7800,
E00008536,Woolwich Riverside,Greenwich,London,10,134,7.4600,
E00008226,Kidbrooke with Hornfair,Greenwich,London,8,165,4.8500,
E00176519,Peninsula,Greenwich,London,8,150,5.3300,
E00176588,Woolwich Riverside,Greenwich,London,8,82,9.7600,
E00008368,Shooters Hill,Greenwich,London,3,137,2.1900,
E00008183,Greenwich West,Greenwich,London,10,111,9.0100,
E00008365,Shooters Hill,Greenwich,London,4,145,2.7600,
E00176577,Glyndon,Greenwich,London,7,111,6.3100,
E00008376,Shooters Hill,Greenwich,London,7,163,4.2900,
E00008153,Greenwich West,Greenwich,London,15,221,6.7900,
E00008129,Glyndon,Greenwich,London,11,172,6.4000,
E00008217,Kidbrooke with Hornfair,Greenwich,London,14,164,8.5400,
E00008296,Peninsula,Greenwich,London,15,203,7.3900,
E00008462,Woolwich Common,Greenwich,London,13,166,7.8300,
E00008502,Woolwich Riverside,Greenwich,London,9,68,13.2400,
E00008297,Peninsula,Greenwich,London,16,143,11.1900,
E00008216,Kidbrooke with Hornfair,Greenwich,London,11,129,8.5300,
E00008165,Greenwich West,Greenwich,London,8,149,5.3700,
E00007930,Charlton,Greenwich,London,25,173,14.4500,
E00008396,Shooters Hill,Greenwich,London,6,225,2.6700,
E00176583,Woolwich Riverside,Greenwich,London,2,135,1.4800,
E00008293,Peninsula,Greenwich,London,9,134,6.7200,
E00008228,Kidbrooke with Hornfair,Greenwich,London,5,101,4.9500,
E00008212,Kidbrooke with Hornfair,Greenwich,London,13,136,9.5600,
E00176580,Blackheath Westcombe,Greenwich,London,1,147,0.6800,
E00008286,Peninsula,Greenwich,London,9,119,7.5600,
E00176506,Peninsula,Greenwich,London,9,132,6.8200,
E00176544,Woolwich Riverside,Greenwich,London,10,235,4.2600,
E00007923,Charlton,Greenwich,London,15,126,11.9000,
E00008493,Woolwich Riverside,Greenwich,London,17,103,16.5000,
E00008529,Woolwich Riverside,Greenwich,London,12,116,10.3400,
E00007853,Blackheath Westcombe,Greenwich,London,14,161,8.7000,
