OA Code,Ward Name,LA Name,Region Name,QS606EW0086,QS606EW0001 (base),OA Percentage
E00176311,Haggerston,Hackney,London,1,118,0.8500,
E00008893,Hoxton,Hackney,London,6,74,8.1100,
E00008891,Hoxton,Hackney,London,15,125,12.0000,
E00008457,Woolwich Common,Greenwich,London,20,185,10.8100,
E00008144,Glyndon,Greenwich,London,14,176,7.9500,
E00008516,Woolwich Riverside,Greenwich,London,19,100,19.0000,
E00008511,Woolwich Riverside,Greenwich,London,12,104,11.5400,
E00008140,Glyndon,Greenwich,London,10,144,6.9400,
E00176512,Woolwich Riverside,Greenwich,London,4,160,2.5000,
E00007885,Blackheath Westcombe,Greenwich,London,8,155,5.1600,
E00008513,Woolwich Riverside,Greenwich,London,24,136,17.6500,
E00007861,Blackheath Westcombe,Greenwich,London,4,115,3.4800,
E00007846,Blackheath Westcombe,Greenwich,London,8,182,4.4000,
E00007863,Blackheath Westcombe,Greenwich,London,5,88,5.6800,
E00008260,Middle Park and Sutcliffe,Greenwich,London,3,120,2.5000,
E00008444,Woolwich Common,Greenwich,London,32,193,16.5800,
E00008169,Greenwich West,Greenwich,London,5,153,3.2700,
E00008300,Peninsula,Greenwich,London,10,125,8.0000,
E00176523,Peninsula,Greenwich,London,9,159,5.6600,
E00008154,Greenwich West,Greenwich,London,12,205,5.8500,
E00008288,Peninsula,Greenwich,London,3,70,4.2900,
E00008199,Kidbrooke with Hornfair,Greenwich,London,5,307,1.6300,
E00176494,Greenwich West,Greenwich,London,4,53,7.5500,
E00008515,Woolwich Riverside,Greenwich,London,19,123,15.4500,
E00008379,Shooters Hill,Greenwich,London,8,138,5.8000,
E00008210,Kidbrooke with Hornfair,Greenwich,London,9,130,6.9200,
E00008484,Woolwich Common,Greenwich,London,13,118,11.0200,
E00007890,Charlton,Greenwich,London,18,114,15.7900,
E00007997,Eltham North,Greenwich,London,10,93,10.7500,
E00008531,Woolwich Riverside,Greenwich,London,14,109,12.8400,
E00007919,Charlton,Greenwich,London,17,165,10.3000,
E00008370,Shooters Hill,Greenwich,London,13,158,8.2300,
E00008225,Kidbrooke with Hornfair,Greenwich,London,12,90,13.3300,
E00008105,Glyndon,Greenwich,London,20,134,14.9300,
E00007882,Blackheath Westcombe,Greenwich,London,4,150,2.6700,
E00008309,Peninsula,Greenwich,London,19,139,13.6700,
E00008466,Woolwich Common,Greenwich,London,26,188,13.8300,
E00008110,Glyndon,Greenwich,London,19,141,13.4800,
E00008201,Kidbrooke with Hornfair,Greenwich,London,17,126,13.4900,
E00008478,Woolwich Common,Greenwich,London,18,184,9.7800,
E00007921,Charlton,Greenwich,London,13,194,6.7000,
E00007862,Blackheath Westcombe,Greenwich,London,7,134,5.2200,
E00176545,Kidbrooke with Hornfair,Greenwich,London,14,128,10.9400,
E00176503,Peninsula,Greenwich,London,5,178,2.8100,
E00176555,Woolwich Riverside,Greenwich,London,15,190,7.8900,
E00008209,Kidbrooke with Hornfair,Greenwich,London,16,121,13.2200,
E00008291,Peninsula,Greenwich,London,12,125,9.6000,
E00176496,Kidbrooke with Hornfair,Greenwich,London,15,202,7.4300,
E00176591,Peninsula,Greenwich,London,5,198,2.5300,
E00008475,Woolwich Common,Greenwich,London,9,82,10.9800,
E00007916,Charlton,Greenwich,London,14,106,13.2100,
E00008445,Woolwich Common,Greenwich,London,12,150,8.0000,
E00008402,Shooters Hill,Greenwich,London,19,145,13.1000,
E00008483,Woolwich Common,Greenwich,London,25,164,15.2400,
E00008527,Woolwich Riverside,Greenwich,London,24,119,20.1700,
E00007998,Eltham North,Greenwich,London,13,132,9.8500,
E00008388,Shooters Hill,Greenwich,London,10,174,5.7500,
E00007920,Charlton,Greenwich,London,5,142,3.5200,
E00008232,Kidbrooke with Hornfair,Greenwich,London,22,124,17.7400,
E00007902,Charlton,Greenwich,London,6,122,4.9200,
E00007879,Blackheath Westcombe,Greenwich,London,6,119,5.0400,
E00008520,Woolwich Riverside,Greenwich,London,14,156,8.9700,
E00007926,Charlton,Greenwich,London,15,175,8.5700,
E00008191,Kidbrooke with Hornfair,Greenwich,London,19,115,16.5200,
E00008280,Peninsula,Greenwich,London,11,211,5.2100,
E00007894,Charlton,Greenwich,London,9,153,5.8800,
E00007901,Charlton,Greenwich,London,7,147,4.7600,
E00008142,Glyndon,Greenwich,London,20,127,15.7500,
E00008202,Kidbrooke with Hornfair,Greenwich,London,17,147,11.5600,
E00008283,Peninsula,Greenwich,London,12,186,6.4500,
E00008397,Shooters Hill,Greenwich,London,14,146,9.5900,
E00008459,Woolwich Common,Greenwich,London,16,501,3.1900,
E00176579,Greenwich West,Greenwich,London,3,117,2.5600,
E00008118,Glyndon,Greenwich,London,19,130,14.6200,
E00008194,Kidbrooke with Hornfair,Greenwich,London,13,128,10.1600,
E00176566,Peninsula,Greenwich,London,7,177,3.9500,
E00008536,Woolwich Riverside,Greenwich,London,8,134,5.9700,
E00008226,Kidbrooke with Hornfair,Greenwich,London,12,165,7.2700,
E00176519,Peninsula,Greenwich,London,9,150,6.0000,
E00176588,Woolwich Riverside,Greenwich,London,10,82,12.2000,
E00008368,Shooters Hill,Greenwich,London,22,137,16.0600,
E00008183,Greenwich West,Greenwich,London,16,111,14.4100,
E00008365,Shooters Hill,Greenwich,London,14,145,9.6600,
E00176577,Glyndon,Greenwich,London,14,111,12.6100,
E00008376,Shooters Hill,Greenwich,London,12,163,7.3600,
E00008153,Greenwich West,Greenwich,London,33,221,14.9300,
E00008129,Glyndon,Greenwich,London,33,172,19.1900,
E00008217,Kidbrooke with Hornfair,Greenwich,London,26,164,15.8500,
E00008296,Peninsula,Greenwich,London,13,203,6.4000,
E00008462,Woolwich Common,Greenwich,London,22,166,13.2500,
E00008502,Woolwich Riverside,Greenwich,London,8,68,11.7600,
E00008297,Peninsula,Greenwich,London,2,143,1.4000,
E00008216,Kidbrooke with Hornfair,Greenwich,London,12,129,9.3000,
E00008165,Greenwich West,Greenwich,London,7,149,4.7000,
E00007930,Charlton,Greenwich,London,8,173,4.6200,
E00008396,Shooters Hill,Greenwich,London,23,225,10.2200,
E00176583,Woolwich Riverside,Greenwich,London,3,135,2.2200,
E00007855,Blackheath Westcombe,Greenwich,London,11,72,15.2800,
E00008293,Peninsula,Greenwich,London,13,134,9.7000,
E00008228,Kidbrooke with Hornfair,Greenwich,London,10,101,9.9000,
E00008212,Kidbrooke with Hornfair,Greenwich,London,20,136,14.7100,
E00008207,Kidbrooke with Hornfair,Greenwich,London,12,123,9.7600,
E00176580,Blackheath Westcombe,Greenwich,London,6,147,4.0800,
E00008286,Peninsula,Greenwich,London,8,119,6.7200,
E00176506,Peninsula,Greenwich,London,19,132,14.3900,
E00176544,Woolwich Riverside,Greenwich,London,14,235,5.9600,
E00007976,Eltham North,Greenwich,London,12,110,10.9100,
E00007923,Charlton,Greenwich,London,16,126,12.7000,
E00008493,Woolwich Riverside,Greenwich,London,17,103,16.5000,
E00008529,Woolwich Riverside,Greenwich,London,14,116,12.0700,
E00007853,Blackheath Westcombe,Greenwich,London,19,161,11.8000,
E00176553,Peninsula,Greenwich,London,7,154,4.5500,
E00008184,Greenwich West,Greenwich,London,8,161,4.9700,
E00008130,Glyndon,Greenwich,London,19,154,12.3400,
E00008492,Woolwich Riverside,Greenwich,London,14,93,15.0500,
E00008427,Thamesmead Moorings,Greenwich,London,9,95,9.4700,
E00007869,Blackheath Westcombe,Greenwich,London,5,111,4.5000,
E00008486,Woolwich Common,Greenwich,London,17,156,10.9000,
E00176568,Woolwich Riverside,Greenwich,London,31,264,11.7400,
E00008894,Hoxton,Hackney,London,12,127,9.4500,
E00008905,Hoxton,Hackney,London,18,232,7.7600,
E00008866,Hoxton,Hackney,London,14,134,10.4500,
E00176255,Haggerston,Hackney,London,1,92,1.0900,
E00007884,Blackheath Westcombe,Greenwich,London,4,195,2.0500,
E00008198,Kidbrooke with Hornfair,Greenwich,London,8,108,7.4100,
E00176500,Greenwich West,Greenwich,London,0,145,0.0000,
E00008498,Woolwich Riverside,Greenwich,London,17,156,10.9000,
E00176521,Woolwich Riverside,Greenwich,London,33,446,7.4000,
E00176490,Greenwich West,Greenwich,London,14,256,5.4700,
E00176504,Peninsula,Greenwich,London,3,171,1.7500,
E00176572,Glyndon,Greenwich,London,17,145,11.7200,
E00008158,Greenwich West,Greenwich,London,28,137,20.4400,
E00007875,Blackheath Westcombe,Greenwich,London,6,133,4.5100,
E00007877,Blackheath Westcombe,Greenwich,London,9,112,8.0400,
E00007922,Charlton,Greenwich,London,4,132,3.0300,
E00008189,Greenwich West,Greenwich,London,18,115,15.6500,
E00007912,Charlton,Greenwich,London,8,152,5.2600,
E00007993,Eltham North,Greenwich,London,16,205,7.8000,
E00176485,Kidbrooke with Hornfair,Greenwich,London,10,103,9.7100,
E00008208,Kidbrooke with Hornfair,Greenwich,London,17,193,8.8100,
E00007889,Charlton,Greenwich,London,17,159,10.6900,
E00008519,Woolwich Riverside,Greenwich,London,20,106,18.8700,
E00008534,Woolwich Riverside,Greenwich,London,11,154,7.1400,
E00008231,Kidbrooke with Hornfair,Greenwich,London,17,155,10.9700,
E00007918,Charlton,Greenwich,London,23,130,17.6900,
E00007999,Eltham North,Greenwich,London,24,172,13.9500,
E00008469,Woolwich Common,Greenwich,London,23,161,14.2900,
E00008458,Woolwich Common,Greenwich,London,8,137,5.8400,
E00007849,Blackheath Westcombe,Greenwich,London,12,128,9.3800,
E00008508,Woolwich Riverside,Greenwich,London,16,132,12.1200,
E00176595,Peninsula,Greenwich,London,13,148,8.7800,
E00007908,Charlton,Greenwich,London,9,206,4.3700,
E00008477,Woolwich Common,Greenwich,London,30,150,20.0000,
E00176551,Greenwich West,Greenwich,London,19,117,16.2400,
E00008192,Kidbrooke with Hornfair,Greenwich,London,9,169,5.3300,
E00008113,Glyndon,Greenwich,London,36,206,17.4800,
E00176561,Woolwich Common,Greenwich,London,23,207,11.1100,
E00008305,Peninsula,Greenwich,London,3,191,1.5700,
E00008384,Shooters Hill,Greenwich,London,6,137,4.3800,
E00008133,Glyndon,Greenwich,London,34,278,12.2300,
E00007897,Charlton,Greenwich,London,14,114,12.2800,
E00008205,Kidbrooke with Hornfair,Greenwich,London,15,126,11.9000,
E00008284,Peninsula,Greenwich,London,8,146,5.4800,
