OA Code,Ward Name,LA Name,Region Name,QS606EW0096,QS606EW0001 (base),OA Percentage
E00176311,Haggerston,Hackney,London,1,118,0.8500,
E00008893,Hoxton,Hackney,London,8,74,10.8100,
E00008891,Hoxton,Hackney,London,9,125,7.2000,
E00008457,Woolwich Common,Greenwich,London,27,185,14.5900,
E00008516,Woolwich Riverside,Greenwich,London,15,100,15.0000,
E00008511,Woolwich Riverside,Greenwich,London,12,104,11.5400,
E00176512,Woolwich Riverside,Greenwich,London,6,160,3.7500,
E00007885,Blackheath Westcombe,Greenwich,London,8,155,5.1600,
E00008513,Woolwich Riverside,Greenwich,London,16,136,11.7600,
E00007861,Blackheath Westcombe,Greenwich,London,3,115,2.6100,
E00007846,Blackheath Westcombe,Greenwich,London,2,182,1.1000,
E00007863,Blackheath Westcombe,Greenwich,London,9,88,10.2300,
E00008260,Middle Park and Sutcliffe,Greenwich,London,5,120,4.1700,
E00008444,Woolwich Common,Greenwich,London,18,193,9.3300,
E00008169,Greenwich West,Greenwich,London,1,153,0.6500,
E00008300,Peninsula,Greenwich,London,5,125,4.0000,
E00176523,Peninsula,Greenwich,London,12,159,7.5500,
E00008154,Greenwich West,Greenwich,London,14,205,6.8300,
E00008288,Peninsula,Greenwich,London,10,70,14.2900,
E00008199,Kidbrooke with Hornfair,Greenwich,London,9,307,2.9300,
E00176494,Greenwich West,Greenwich,London,3,53,5.6600,
E00008515,Woolwich Riverside,Greenwich,London,13,123,10.5700,
E00008379,Shooters Hill,Greenwich,London,10,138,7.2500,
E00008210,Kidbrooke with Hornfair,Greenwich,London,9,130,6.9200,
E00007890,Charlton,Greenwich,London,13,114,11.4000,
E00007997,Eltham North,Greenwich,London,4,93,4.3000,
E00008531,Woolwich Riverside,Greenwich,London,6,109,5.5000,
E00007919,Charlton,Greenwich,London,14,165,8.4800,
E00008225,Kidbrooke with Hornfair,Greenwich,London,6,90,6.6700,
E00008105,Glyndon,Greenwich,London,14,134,10.4500,
E00007882,Blackheath Westcombe,Greenwich,London,3,150,2.0000,
E00008309,Peninsula,Greenwich,London,16,139,11.5100,
E00008466,Woolwich Common,Greenwich,London,18,188,9.5700,
E00008110,Glyndon,Greenwich,London,11,141,7.8000,
E00008201,Kidbrooke with Hornfair,Greenwich,London,2,126,1.5900,
E00008478,Woolwich Common,Greenwich,London,14,184,7.6100,
E00007921,Charlton,Greenwich,London,10,194,5.1500,
E00007862,Blackheath Westcombe,Greenwich,London,4,134,2.9900,
E00176545,Kidbrooke with Hornfair,Greenwich,London,10,128,7.8100,
E00176503,Peninsula,Greenwich,London,9,178,5.0600,
E00176555,Woolwich Riverside,Greenwich,London,3,190,1.5800,
E00008209,Kidbrooke with Hornfair,Greenwich,London,8,121,6.6100,
E00008291,Peninsula,Greenwich,London,14,125,11.2000,
E00176496,Kidbrooke with Hornfair,Greenwich,London,21,202,10.4000,
E00176591,Peninsula,Greenwich,London,0,198,0.0000,
E00008475,Woolwich Common,Greenwich,London,9,82,10.9800,
E00007916,Charlton,Greenwich,London,16,106,15.0900,
E00008445,Woolwich Common,Greenwich,London,14,150,9.3300,
E00008483,Woolwich Common,Greenwich,London,11,164,6.7100,
E00008527,Woolwich Riverside,Greenwich,London,16,119,13.4500,
E00007998,Eltham North,Greenwich,London,10,132,7.5800,
E00008388,Shooters Hill,Greenwich,London,10,174,5.7500,
E00007920,Charlton,Greenwich,London,9,142,6.3400,
E00008232,Kidbrooke with Hornfair,Greenwich,London,7,124,5.6500,
E00007902,Charlton,Greenwich,London,10,122,8.2000,
E00007879,Blackheath Westcombe,Greenwich,London,7,119,5.8800,
E00008520,Woolwich Riverside,Greenwich,London,27,156,17.3100,
E00007926,Charlton,Greenwich,London,6,175,3.4300,
E00008191,Kidbrooke with Hornfair,Greenwich,London,14,115,12.1700,
E00008280,Peninsula,Greenwich,London,3,211,1.4200,
E00007894,Charlton,Greenwich,London,12,153,7.8400,
E00007901,Charlton,Greenwich,London,9,147,6.1200,
E00008142,Glyndon,Greenwich,London,11,127,8.6600,
E00008202,Kidbrooke with Hornfair,Greenwich,London,13,147,8.8400,
E00008283,Peninsula,Greenwich,London,9,186,4.8400,
E00008397,Shooters Hill,Greenwich,London,7,146,4.7900,
